Sector,2011 Response status,2010 Response status,,Carbon disclosure score,Scope 3,Scope 2,Company,Non-Public,Carbon performance band,Total Emissions1,Scope 3 source type,Scope 1
Financials,AQ,AQ,,74,7336,149366,Standard Bank Group,,C,160561,Tr Oth,11195
Financials,AQ,AQ,,77,56685,251355,Standard Chartered,,B,257673,Tr,6318
Financials,AQ,AQ,,84,20855,141071,State Street,,B,146754,Tr,5683
Energy,AQ,AQ,,60,37000,227613,Statoil,,E,14407321,Tr,14179708
Energy,AQ,AQ,,92,40728,2188938,Suncor Energy,,A-,19228524,Tr EC Oth,17039586
Financials,AQ,AQ,,76,2665.99,8152.31,Svenska Handelsbanken,,C,8169.58,TI Tr,17.27
Financials,AQ,AQ,,91,17665,16531,Swiss Re,,A,21721,Tr,5190
,AQ,AQ,,85,1570,5655,Swisscom,,B,31077,Tr,25422
Materials,AQ,AQ,,88,319000,301000,Syngenta International,,B,985000,TI Tr,684000
Financials,AQ,AQ,,74,1324,49266.01,T.GARANTI BANKASI,,C,59969.48,Tr,10703.47
Information Technology,AQ,AQ,,83,2493468,2590554,Taiwan Semiconductor Manufacturing,,B,4427145,PGS Tr TSP Oth,1836591
Health Care,AQ,AQ,,63,7719,146729,Takeda Pharmaceutical,,B,294609,TSP,147880
Consumer Discretionary,AQ,AQ,,77,22986,2714973,Target,,C,3129941,Tr,414968
Materials,AQ,AQ,,68,1886,258619,Teck,,E,2948297,Tr,2689678
,AQ,AQ,,73,85829,828260,Telecom Italia,,B,974305,Tr EC,146045
,AQ,AQ,,90,47795,1688147,Telefonica,,B,1814799,TI Tr EC,126652
,AQ,AQ,,72,25120,714463,Telenor Group,,C,1059344,Fu TI Tr,344881
,AQ,AQ,,72,35877,245669,TeliaSonera,,C,263823,PGS Tr TSP,18154
,AQ,AQ,,70,241396,1400690,Telstra Corporation,,D,1482493,Fu Wa Tr Oth,81803
Consumer Staples,AQ,AQ,,97,62233,3483297,Tesco,,A,3152927,Tr,1889765
Consumer Discretionary,AQ,AQ,,45,50525,235851,Time Warner,,-,260618,Tr,24767
Consumer Discretionary,AQ,AQ,,82,14300,698160,TJX Companies,,C,762410,Tr,64250
Financials,AQ,AQ,,79,4379,52016,Tokio Marine Holdings,,B,69145,Tr,17129
Financials,AQ,AQ,,60,38561,153716,Toronto-Dominion Bank,,C,196180,Tr Ld,42464
Information Technology,AQ,AQ,,68,59079,1943773,Toshiba,,C,2513970,TI,570197
Energy,AQ,AQ,,81,633600000,5400000,Total,,B,57000000,TSP USP,51600000
Consumer Discretionary,AQ,AQ,,73,334145,4265000,Toyota Motor,,D,7057000,TI Tr,2792000
Energy,AQ,AQ,,71,94699,6664,Transocean,,C,1768402,Tr Oth,1761738
Financials,AQ,AQ,,70,24256,370934,U.S. BanCorp,,C,411379,Tr,40445
Financials,AQ,AQ,,91,89957,248893,UBS,,A,276046,PGS Wa Tr,27153
Financials,AQ,AQ,,75,1374,95536,Unibail-Rodamco,,C,117902,Tr,22366
Financials,AQ,AQ,,70,24836,369450,Unicredit Group,,D,469550,Wa Tr Oth,100100
Industrials,AQ,AQ,,58,66336,968302,United Technologies,,D,1914377,Tr,946075
Industrials,AQ,AQ,,99,9864729,917695,UPS,,A-,12630498,Fu Tr EC TSP Fr,11712803
