Company,Sector,2011 Response status,2010 Response status,Carbon disclosure score,Carbon performance band,Non-Public,Total Emissions1,Scope 1,Scope 2,Scope 3,Scope 3 source type,,,,
Firstrand ,Financials ,AQ ,AQ ,88,B ,,321228.24,12219.75,309008.49,23196.51,PGS Tr ,,,,
Ford Motor ,Consumer Discretionary ,AQ ,AQ ,46,-,,5268477,1602246,3666231,-,,,,,
Formosa Petrochemical ,Energy ,NR ,DP ,-,-,,-,-,-,-,,,,,
Fortum Oyj ,Utilities ,AQ ,AQ ,97,B ,,25704279,25600000,104279,5654740,Fu Tr USP ,,,,
Franklin Resources ,Financials ,AQ ,AQ ,62,D ,,39949,10362,29587,7966,Tr,,,,
Freeport-McMoRan Copper & Gold ,Materials ,AQ ,AQ ,87,C ,,9985750,5622379,4363371,337500,TI Tr PSP ,,,,
Fresenius Medical Care KGaA ,Health Care ,AQ ,AQ ,55,D ,NP ,-,-,-,-,-,,,,
FujiFilm Holdings ,Materials ,AQ ,AQ ,62,E ,,1315765,793333,522432,3891000,PGS TI Wa USP,,,,
Gazprom ,Energy ,AQ ,AQ ,50,D ,,131219300,131219300,-,-,,,,,
Gazprom Neft ,Energy ,NR ,DP ,-,-,,-,-,-,-,,,,,
GDF Suez ,Utilities ,AQ ,AQ ,87,B ,,112575205,109324454,3250751,163417207,Fu USP,,,,
General Dynamics ,Industrials ,IN ,IN ,-,-,,-,-,-,-,,,,,
General Electric ,Industrials ,AQ ,AQ ,73,C ,,5650000,2500000,3150000,-,,,,,
General Mills ,Consumer Staples ,AQ ,AQ ,64,C ,,1002526,279484,723042,452295,TI Tr,,,,
Genting Singapore ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Genzyme ,Health Care ,AQ ,,85,B ,NP ,-,-,-,-,-,,,,
Gilead Sciences ,Health Care ,AQ ,AQ ,95,B ,,67094,29725,37369,18795,Tr EC ,,,,
GlaxoSmithKline ,Health Care ,AQ ,AQ ,93,A ,,2007715,1001746,1005969,4923155,TI Tr USP Oth ,,,,
Goldcorp ,Materials ,AQ ,AQ ,51,D ,,1194496,596767,597729,-,,,,,
Goldman Sachs Group ,Financials ,AQ ,AQ ,83,B ,,351487,14645,336842,168250,Tr ,,,,
Google ,Information Technology ,AQ ,AQ ,89,A-,,1237476,11126,1226350,207065,Tr EC Ld SE ,,,,
Great West Lifeco ,Financials ,DP ,DP,-,-,,-,-,-,-,,,,,
Grupo Mexico ,Industrials ,NR ,NR,-,-,,-,-,-,-,,,,,
H&M Hennes & Mauritz ,Consumer Discretionary ,AQ ,AQ ,57,D ,,281888,11466,270422,215377,TI Tr,,,,
Halliburton ,Energy ,AQ ,AQ ,54,E ,,4020000,4020000,-,44,Tr,,,,
Hang Lung Properties ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Hang Seng Bank ,Financials ,AQ ,AQ ,51,D ,,23965.79,-,,23965.79,-,,,,
HDFC Bank ,Financials ,AQ ,AQ ,55,D ,,239540,29724,209816,-,Oth,,,,
Heineken ,Consumer Staples ,AQ ,AQ ,59,D ,,1990911,1201314,789597,-,,,,,
Hermes International ,Consumer Discretionary ,NR ,NR ,-,-,,-,-,-,-,,,,,
Hess ,Energy ,AQ ,AQ ,91,B ,,9034065,8452627,581438,40308994,TI Tr TSP USP ,,,,
