Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
Benin,1973,0.02,0.01,0.31,0.06,
Bhutan,1973,,,,,
Bolivia,1973,0.45,0.5,1.13,0.45,
Bosnia & Herzegovina,1973,2.421384246,5.623497179,1.601786045,2.163383699,
Botswana,1973,,,,,
Brazil,1973,13.43,35.85,55.71,10.45,
Brunei,1973,0.53,0.06,0.08,0.02,
Bulgaria,1973,23.27,10.65,4.76,27.94,
Burkina Faso,1973,,,,,
Burundi,1973,,,,,
Cambodia,1973,,,,,
Cameroon,1973,0.04,0.07,0.63,0.04,
Canada,1973,86.08,98.83,97.28,93.79,
Cape Verde,1973,,,,,
Central African Republic,1973,,,,,
Chad,1973,,,,,
Chile,1973,5.29,6,5.43,3.1,
China,1973,157.12,456.3,55.84,233.55,
Colombia,1973,6.64,8.78,7.61,5.62,
Comoros,1973,,,,,
Congo,1973,0.06,0.14,0.36,0.04,
"Congo, Dem. Republic",1973,0.07,0.82,0.49,1.19,
Cook Islands,1973,,,,,
Costa Rica,1973,0.28,0.41,0.83,0.09,
Cote d'Ivoire,1973,0.79,0.73,0.9,0.27,
Croatia,1973,2.972289305,6.353000898,3.533497334,1.560064684,
Cuba,1973,5.63,7.71,4.37,3.62,
Cyprus,1973,0.9,0.56,0.73,0.12,
Czech Republic,1973,40.72,64.21,6.39,35.78,
Denmark,1973,15.38,9.53,7.94,23.19,
Djibouti,1973,,,,,
Dominica,1973,,,,,
Dominican Republic,1973,1.95,0.88,1.55,0.2,
Ecuador,1973,0.93,0.53,2.04,0.53,
Egypt,1973,3.2,8.59,4.36,4.62,
El Salvador,1973,0.43,0.56,0.66,0.15,
Equatorial Guinea,1973,,,,,
Eritrea,1973,,,,,
Estonia,1973,,,,,
Ethiopia,1973,0.33,0.3,0.57,0.1,
Fiji,1973,,,,,
Finland,1973,10.91,17.57,7.14,12.39,
France,1973,127.83,136.79,71.61,148.59,
Gabon,1973,0.11,0.42,0.04,0.04,
Gambia,1973,,,,,
Georgia,1973,,,,,
Germany,1973,403.71,272.57,106.17,270.67,
Ghana,1973,0.11,0.46,1.09,0.43,
Greece,1973,12.86,8.66,6.14,6.42,
Grenada,1973,,,,,
Guatemala,1973,0.71,0.68,0.94,0.32,
Guinea,1973,,,,,
Guinea-Bissau,1973,,,,,
Guyana,1973,,,,,
Haiti,1973,0.01,0.16,0.17,0.02,
